Replicate,UC1_AssignedTextUC,UC2_AssignedTextUC,UC3_AssignedTextUC,UC4_AssignedTextUC,UC5_AssignedTextUC,UC6_AssignedTextUC,UC7_AssignedTextUC,UC8_AssignedTextUC,UC9_AssignedTextUC,UC10_AssignedTextUC,UC11_AssignedTextUC,UC12_AssignedTextUC,UC13_AssignedTextUC,UC14_AssignedTextUC,UC15_AssignedTextUC,UC16_AssignedTextUC,UC17_AssignedTextUC,UC18_AssignedTextUC,UC19_AssignedTextUC,UC20_AssignedTextUC,UC21_AssignedTextUC
45,4,6,15,16,7,8,14,13,11,1,2,9,10,5,21,20,19,3,12,18,17
46,17,5,7,10,1,3,13,21,18,19,16,15,12,4,14,6,20,2,11,9,8
47,8,11,10,7,9,6,19,17,12,13,21,16,18,4,3,15,2,5,20,1,14
48,8,21,7,15,6,13,11,2,14,18,3,4,12,16,17,10,1,20,9,5,19
49,21,10,8,11,17,6,7,14,2,19,9,5,3,1,18,20,12,13,16,15,4
50,4,17,15,18,8,12,2,10,5,19,7,21,13,14,3,16,9,1,20,6,11
51,20,15,5,11,6,17,10,3,19,18,2,9,14,16,1,13,7,12,8,21,4
52,19,21,20,10,9,6,8,18,12,17,15,7,14,3,13,16,1,11,4,5,2
53,13,11,12,15,1,14,7,8,19,2,10,3,6,17,4,18,16,5,21,9,20
54,9,17,12,8,14,15,18,7,1,5,2,19,13,4,11,3,10,6,20,16,21
55,13,6,11,18,1,14,7,15,8,10,4,9,17,12,20,3,21,16,5,2,19
56,14,4,6,20,17,16,8,5,18,15,2,13,9,11,21,3,12,19,10,1,7
57,11,17,1,9,19,10,14,12,7,8,3,13,6,15,2,16,5,21,20,18,4
58,15,17,20,18,10,12,7,3,14,4,19,16,9,6,1,8,13,21,5,11,2
59,4,19,8,20,18,7,10,12,21,13,14,5,6,1,3,16,2,9,11,15,17
60,20,15,2,14,7,1,4,12,10,19,21,6,13,16,5,3,11,9,8,17,18
61,3,1,13,11,9,7,5,18,15,17,2,8,21,19,16,12,20,6,4,10,14
62,18,3,11,14,13,8,10,9,2,15,20,4,7,21,5,16,1,12,6,19,17
63,17,13,7,8,11,19,2,5,16,6,9,1,4,12,18,14,15,21,3,10,20
64,11,6,3,4,7,16,12,5,1,15,18,2,9,21,10,13,8,19,17,20,14
65,16,17,15,2,20,7,9,3,6,12,13,4,14,21,1,18,10,8,11,19,5
66,11,9,16,18,1,15,21,8,17,10,13,2,14,3,20,12,19,4,6,5,7
67,17,16,4,13,10,20,19,9,18,1,11,3,21,2,8,14,15,6,5,12,7
68,10,13,9,12,14,20,15,2,19,1,8,3,4,18,16,7,17,11,5,21,6
69,4,5,6,8,3,17,14,21,18,1,7,15,19,2,16,10,11,12,13,9,20
70,14,9,17,5,18,2,8,6,7,15,1,12,21,4,20,16,10,3,19,13,11
71,5,9,8,1,6,14,7,17,21,3,11,16,2,12,18,15,20,10,19,13,4
72,16,14,6,19,8,21,2,12,17,5,15,20,10,13,1,7,4,9,3,11,18
73,11,19,7,9,5,3,20,12,2,16,15,17,8,6,21,13,18,14,1,10,4
74,4,14,1,10,12,13,20,9,19,18,2,7,11,17,16,6,3,5,8,15,21
75,11,3,10,19,8,14,7,12,17,20,6,16,18,13,1,21,15,9,5,4,2
76,15,20,7,6,12,14,19,8,13,2,21,16,1,18,11,10,4,9,17,3,5
77,3,10,21,20,19,6,13,17,11,1,15,7,9,12,8,18,14,2,16,5,4
78,8,2,13,15,21,16,12,5,1,4,20,14,7,19,9,11,10,17,18,6,3
79,12,11,19,1,3,2,10,5,15,17,21,8,9,13,16,4,14,7,6,18,20
80,15,13,14,11,12,8,9,10,18,20,17,4,6,2,7,3,16,5,1,19,21
81,3,14,21,17,8,18,12,20,6,5,9,15,4,1,13,19,7,11,2,16,10
82,3,5,9,13,2,16,20,18,19,14,11,17,4,8,6,12,10,15,1,21,7
83,10,17,6,20,21,3,2,14,15,13,1,8,11,5,16,7,9,4,18,12,19
84,16,9,8,18,20,15,6,4,12,13,11,1,21,7,5,3,17,10,2,14,19
85,9,13,18,11,14,6,4,7,2,17,5,10,21,20,3,15,12,1,8,16,19
86,19,9,8,14,15,2,5,6,20,13,12,21,11,10,16,3,1,7,18,17,4
87,19,8,17,10,6,3,11,15,7,18,21,20,14,2,13,1,9,5,4,12,16
88,12,1,18,11,2,20,7,4,17,10,13,15,3,6,9,19,5,21,16,14,8
89,14,5,16,4,15,12,9,17,20,2,1,3,19,18,8,10,7,21,11,6,13
90,14,6,19,5,8,4,12,20,17,11,21,7,2,9,13,15,10,16,1,18,3
91,9,14,21,13,18,11,2,6,20,10,5,16,19,4,3,8,7,1,12,17,15
92,10,2,19,20,3,7,1,6,17,13,8,16,4,15,18,12,5,21,14,11,9
93,2,11,9,4,14,10,17,15,6,1,20,8,21,18,5,12,16,19,3,13,7
94,3,5,7,13,14,2,6,4,18,8,9,19,15,12,1,20,10,21,16,11,17
95,19,11,5,15,7,10,1,12,20,18,13,9,21,4,8,14,17,2,16,6,3
96,8,17,21,5,19,2,16,20,12,11,1,4,3,15,10,13,6,18,7,9,14
97,16,7,9,15,17,1,5,18,19,4,8,20,6,14,21,12,11,2,13,3,10
98,6,2,16,10,13,1,15,5,14,19,12,7,18,11,17,9,8,21,3,20,4
99,15,11,9,8,3,1,18,21,12,2,13,16,10,17,7,19,6,14,4,5,20
100,8,15,9,1,13,10,21,6,18,3,17,16,11,12,7,20,14,19,2,5,4
101,9,18,7,8,11,12,5,15,20,4,19,3,10,17,16,14,6,21,13,1,2
102,7,5,11,15,10,4,8,6,14,17,1,12,20,19,13,3,16,2,21,18,9
103,15,8,3,21,16,18,10,12,20,5,14,1,13,11,4,7,17,19,2,6,9
104,11,15,1,14,16,5,21,20,10,17,8,7,12,6,19,9,4,18,13,3,2
105,19,1,8,3,18,10,11,21,2,6,4,7,12,9,5,14,16,20,17,13,15
106,13,14,11,16,9,18,6,19,21,3,1,17,7,5,10,12,8,20,2,15,4
107,16,7,8,3,13,17,21,5,10,6,20,11,9,19,1,4,15,2,18,14,12
108,21,19,6,1,11,17,2,8,13,5,3,9,7,12,4,20,16,14,10,15,18
109,6,3,13,15,4,17,11,16,2,19,18,10,7,8,9,12,5,1,20,21,14
110,6,19,9,18,2,20,11,10,14,16,15,12,17,3,4,1,8,13,21,5,7
111,12,21,5,2,14,20,13,10,16,18,8,7,19,9,6,15,4,17,3,11,1
112,20,7,11,14,5,15,3,17,19,13,12,18,2,8,16,6,21,4,10,1,9
113,12,7,10,13,11,5,2,19,4,6,17,8,1,14,16,9,18,15,20,3,21
114,18,5,14,2,11,12,16,10,6,21,13,19,7,1,15,9,20,4,8,3,17
115,20,10,3,19,21,2,18,6,14,12,13,9,11,17,4,15,1,8,5,7,16
116,21,20,13,18,15,16,9,5,11,4,8,3,14,12,10,17,1,2,7,19,6
117,9,17,6,12,20,4,21,11,16,19,18,5,15,1,8,7,10,3,2,14,13
118,12,6,15,7,18,20,5,8,2,13,3,16,4,9,14,21,1,10,19,17,11
119,4,5,13,12,10,14,2,15,8,17,21,6,9,1,11,19,3,7,16,18,20
120,17,12,6,19,14,15,13,4,5,3,7,1,16,2,18,9,11,21,10,8,20
121,16,20,5,15,12,17,9,18,11,14,13,7,8,21,2,19,3,1,6,10,4
122,14,6,15,17,12,2,9,5,3,13,16,4,8,18,11,20,21,19,1,7,10
123,2,17,11,16,13,12,10,19,14,21,9,18,6,5,8,3,20,4,7,1,15
124,1,5,2,12,8,4,20,14,16,18,19,17,9,15,10,11,6,3,13,21,7
125,15,12,9,17,11,2,14,5,18,1,3,20,21,4,10,8,13,19,6,16,7
126,17,1,9,12,5,21,13,14,4,16,8,10,19,2,7,11,6,3,18,15,20
127,19,16,14,5,10,3,2,8,21,15,9,4,7,13,17,6,12,20,1,11,18
128,21,3,8,20,13,2,7,16,19,18,4,6,12,1,5,11,17,15,14,9,10
129,5,18,7,1,9,16,19,11,8,2,21,15,12,13,14,6,4,20,17,3,10
130,20,11,19,3,21,5,1,10,4,14,8,16,2,13,17,18,7,15,12,9,6
131,12,2,5,15,17,18,6,20,21,19,14,3,9,13,1,7,11,10,16,4,8
132,20,3,16,12,2,4,11,19,18,13,10,8,7,5,14,15,1,6,9,21,17
133,21,17,20,8,13,12,19,5,2,6,11,16,9,18,3,10,1,4,7,14,15
134,3,12,16,6,9,15,4,2,7,13,1,21,17,14,8,10,11,20,18,19,5
135,9,12,17,7,14,2,19,8,5,21,13,1,4,16,15,11,6,10,3,20,18
136,5,6,3,7,19,1,2,9,15,4,18,20,14,8,11,21,13,12,16,10,17
137,12,21,18,2,19,4,10,3,13,8,9,7,5,11,16,6,20,14,1,17,15
138,12,2,6,4,7,15,1,3,21,9,17,20,10,5,14,8,11,13,19,16,18
139,18,1,20,16,13,17,8,15,10,5,2,12,3,19,11,21,14,4,9,6,7
140,6,8,12,3,14,4,2,13,5,10,21,19,11,20,17,7,1,18,15,9,16
141,20,11,3,10,16,1,4,6,7,21,9,14,8,17,18,2,15,12,19,13,5
142,10,4,7,21,19,9,18,14,15,17,11,8,5,12,20,13,3,16,2,6,1
143,2,6,1,10,12,8,7,13,5,11,3,15,4,18,21,9,17,14,19,16,20
144,3,20,19,18,4,16,6,2,13,21,12,10,14,15,11,17,9,5,1,7,8
145,14,6,10,19,11,8,17,13,12,21,3,15,18,1,7,16,4,20,2,9,5
146,12,14,20,13,7,10,17,16,1,11,9,4,3,8,19,18,21,6,15,2,5
147,5,1,19,14,18,20,6,21,15,10,16,8,2,12,11,17,7,9,13,3,4
148,6,14,8,17,21,20,1,7,9,4,5,15,12,18,11,3,19,13,16,2,10
149,2,16,4,5,21,20,19,14,8,7,10,6,9,1,13,11,3,17,15,12,18
150,17,16,3,11,19,13,9,7,14,20,21,4,18,6,2,8,12,5,1,10,15
151,14,5,10,21,18,12,9,8,16,2,3,19,1,4,13,6,15,17,11,20,7
152,15,6,4,8,16,2,13,21,7,1,9,5,10,12,19,11,18,20,14,17,3
153,5,15,16,9,11,13,19,10,1,12,8,21,14,4,20,7,2,17,3,6,18
154,10,21,8,17,13,1,9,14,3,5,4,20,16,11,18,2,12,7,19,15,6
155,3,18,2,19,10,7,20,17,15,13,21,8,6,16,1,5,9,11,12,14,4
156,1,12,20,17,16,11,14,6,7,15,2,9,18,8,21,4,19,3,5,13,10
157,4,2,9,15,14,20,3,17,18,6,13,11,12,10,8,5,16,21,19,1,7
158,4,2,5,17,20,11,12,14,9,6,10,15,18,7,16,8,3,19,21,13,1
159,13,11,14,20,18,7,15,1,12,16,3,10,9,6,21,8,5,19,17,2,4
160,12,16,10,14,2,20,4,1,13,3,19,21,7,5,17,18,8,9,15,11,6
161,6,12,20,14,3,18,2,13,4,17,9,21,11,1,16,5,10,15,7,19,8
162,7,2,19,1,4,18,20,21,10,13,15,5,12,3,9,6,16,11,8,17,14
163,7,11,14,6,19,5,8,15,20,18,16,21,17,1,4,12,2,9,10,3,13
164,11,18,12,17,16,2,7,9,20,8,15,13,10,5,4,21,3,14,19,6,1
165,8,9,3,16,13,11,1,19,2,18,20,10,4,15,7,12,17,14,6,21,5
166,8,1,2,17,7,16,14,19,9,5,12,4,13,11,10,3,15,20,21,18,6
167,4,12,7,21,15,17,10,5,19,1,20,8,2,3,6,16,13,18,9,14,11
168,7,14,13,10,8,20,2,15,6,3,19,17,5,9,18,4,12,1,11,21,16
169,7,5,21,2,10,16,15,17,13,19,18,9,12,8,11,1,3,20,4,6,14
170,5,15,6,2,17,14,10,11,13,7,16,18,19,21,9,12,20,8,3,1,4
171,14,10,1,16,17,18,5,12,21,13,3,19,4,9,7,6,15,11,8,2,20
172,1,7,20,19,3,11,17,2,10,12,21,15,14,6,18,9,13,5,16,4,8
173,21,15,9,2,12,19,10,11,5,1,18,3,8,7,20,4,16,13,14,17,6
174,15,9,3,8,6,21,10,19,7,12,20,5,13,16,4,18,2,11,17,14,1
175,9,21,20,4,7,14,15,8,10,17,1,18,13,2,6,5,19,11,3,16,12
176,16,12,1,20,5,11,6,19,15,18,3,17,14,7,9,4,21,2,13,8,10
177,12,5,20,19,9,15,1,13,4,6,11,2,18,14,17,10,7,16,3,21,8
178,2,12,17,16,3,10,19,15,21,14,7,4,8,18,9,1,20,13,11,6,5
179,7,21,8,10,12,16,15,3,11,1,5,14,6,17,4,13,20,18,9,2,19
180,3,19,11,10,6,5,8,21,18,14,4,15,17,13,7,12,16,1,9,20,2
181,17,7,18,10,2,4,12,1,8,21,9,20,13,11,5,6,19,3,16,14,15
182,13,9,6,17,2,7,3,12,16,4,19,21,14,18,5,11,20,15,8,1,10
183,16,3,7,15,6,10,9,19,11,5,8,12,17,14,2,1,18,4,13,21,20
184,3,7,19,9,13,4,16,20,8,12,21,17,6,15,1,2,11,10,5,18,14
185,7,2,16,12,11,20,3,13,5,8,14,6,18,9,1,10,4,21,17,19,15
186,12,13,5,9,4,14,11,16,7,6,8,10,19,21,17,20,18,1,3,15,2
187,5,2,9,6,19,3,1,16,7,21,11,15,8,17,13,14,4,12,18,20,10
188,14,19,18,4,6,5,9,21,8,13,2,20,16,7,12,1,3,17,15,11,10
189,4,10,13,14,1,7,19,16,18,21,6,2,3,11,15,20,12,17,8,9,5
190,3,9,7,6,18,21,20,5,12,8,16,17,11,19,1,14,4,13,15,2,10
191,2,21,15,5,10,8,20,17,12,18,9,3,1,13,16,4,11,6,14,19,7
192,3,12,11,21,10,19,8,4,13,9,16,5,17,20,1,7,2,15,14,6,18
193,19,16,6,17,15,5,1,13,4,10,20,9,3,14,2,12,21,8,18,7,11
194,7,12,11,15,19,20,5,1,21,17,3,16,9,2,4,8,18,6,10,13,14
195,15,17,19,18,14,16,13,9,10,3,1,21,5,4,6,2,8,20,12,7,11
196,15,3,11,19,21,18,16,5,6,10,2,1,9,4,20,17,13,12,7,14,8
197,9,8,2,1,4,14,21,17,19,3,15,16,12,18,10,7,5,13,6,11,20
198,7,4,13,18,2,20,11,9,3,1,17,21,16,19,5,14,10,12,6,15,8
199,3,15,2,13,17,9,11,4,7,16,21,5,19,6,8,20,1,10,12,14,18
200,19,13,14,16,3,10,5,4,20,17,12,1,11,2,18,21,6,8,7,9,15
201,13,14,7,17,9,6,5,19,3,16,10,12,8,20,4,15,2,11,1,21,18
202,12,1,8,18,2,9,16,5,20,13,21,19,10,14,6,11,17,7,4,3,15
203,8,13,17,16,7,4,21,9,12,19,5,3,2,10,6,1,11,15,18,14,20
204,12,5,18,8,6,13,11,15,14,4,9,10,16,19,20,17,1,2,21,3,7
205,13,19,21,20,12,9,18,1,8,4,7,10,6,11,3,14,17,5,16,2,15
206,1,15,2,12,17,18,11,14,8,6,5,3,9,7,10,20,19,21,13,16,4
207,17,13,7,3,14,12,20,16,15,5,6,8,9,1,18,11,21,2,4,19,10
208,13,1,15,8,20,17,16,3,6,9,18,5,2,10,7,21,14,4,11,12,19
209,14,1,11,12,8,20,13,2,3,7,19,10,17,5,15,9,16,4,6,18,21
210,12,20,3,11,17,8,16,2,1,4,15,21,5,13,19,9,7,18,6,10,14
211,5,14,6,16,18,10,4,19,3,21,12,9,8,13,11,7,2,1,17,15,20
212,19,12,11,10,7,13,3,20,17,1,21,18,14,2,4,9,8,5,16,15,6
213,2,7,4,9,1,11,5,18,14,15,10,21,16,17,8,12,3,13,19,6,20
214,1,21,8,18,9,15,4,13,17,20,6,7,3,16,10,19,14,5,2,12,11
215,15,10,13,9,11,1,12,4,6,17,5,18,8,21,7,16,2,19,20,3,14
216,5,8,2,3,14,6,11,13,1,7,20,9,21,12,15,4,19,10,16,18,17
217,8,19,10,3,1,11,2,13,21,17,7,9,18,16,20,12,6,14,15,4,5
218,16,8,4,2,3,18,5,20,11,7,14,9,17,1,15,19,13,21,10,6,12
219,3,7,21,14,19,8,1,6,13,11,10,2,4,20,9,5,17,12,16,15,18
220,9,18,16,6,10,11,17,14,15,21,3,5,20,12,8,19,1,4,7,2,13
221,3,11,4,9,20,18,19,12,14,21,15,2,13,16,1,17,10,7,5,8,6
222,13,9,17,12,4,11,20,18,19,21,6,16,15,10,14,8,7,2,1,5,3
223,6,5,4,17,18,14,12,21,3,20,9,8,13,1,2,7,10,15,11,16,19
224,20,3,14,2,1,12,21,11,8,18,6,7,13,10,19,17,9,15,5,16,4
225,7,10,4,2,20,15,21,5,6,12,1,17,18,19,16,14,9,11,8,13,3
226,10,6,15,17,7,8,13,9,5,12,19,3,21,11,20,1,4,18,2,16,14
227,19,15,7,12,6,18,9,20,14,5,4,8,10,13,11,16,2,21,1,17,3
228,16,3,5,18,9,17,15,20,8,7,14,11,13,4,6,12,2,1,10,19,21
229,10,4,3,12,7,18,19,13,9,20,15,5,2,14,6,17,16,21,8,1,11
230,19,18,20,17,7,14,21,1,12,2,6,11,16,10,5,8,4,13,9,3,15
231,7,1,6,11,20,12,8,13,15,9,2,5,18,10,16,21,4,17,14,3,19
232,4,18,5,2,8,16,15,9,11,20,12,14,19,21,6,1,7,3,10,13,17
233,1,12,21,16,11,20,18,13,17,19,4,8,10,7,9,15,6,2,14,5,3
234,20,16,9,3,19,4,6,11,10,1,2,7,21,5,8,12,15,14,13,18,17
235,2,3,9,19,14,1,7,11,12,5,18,10,4,13,17,15,8,21,20,16,6
236,6,15,2,12,19,8,4,9,11,16,10,7,1,20,21,5,13,18,3,14,17
237,16,19,21,2,20,18,6,14,11,17,10,12,3,7,8,1,15,13,4,5,9
238,4,14,11,16,9,6,21,5,8,7,15,18,17,19,13,3,2,1,20,10,12
239,12,8,4,13,5,14,9,6,15,16,17,3,2,10,19,11,20,1,18,21,7
240,14,3,10,9,4,13,2,16,20,8,1,7,21,18,15,19,5,17,11,12,6
241,8,2,13,1,7,11,9,14,16,21,4,5,15,3,12,18,6,10,20,19,17
242,10,7,8,15,11,14,4,3,6,16,19,9,20,2,21,12,5,18,17,13,1
243,3,13,5,21,18,14,15,9,8,20,1,17,11,10,12,16,6,19,2,7,4
244,2,6,18,9,13,21,15,3,11,20,17,16,10,5,4,14,12,19,7,8,1
245,18,21,1,5,15,19,7,13,12,11,20,8,14,10,17,2,6,16,9,3,4
246,11,3,8,5,6,1,2,17,19,13,9,21,15,12,4,10,18,14,16,7,20
247,18,10,11,6,12,8,19,14,15,7,9,4,5,13,20,16,3,1,17,21,2
248,12,11,15,18,8,7,17,10,5,21,16,19,9,1,6,20,2,14,13,3,4
249,17,6,18,9,14,5,11,12,2,1,13,20,21,10,15,8,19,3,7,4,16
250,15,14,6,9,21,3,5,17,11,13,18,8,19,16,4,1,20,10,12,7,2
251,14,11,8,9,7,16,21,12,6,19,1,17,18,10,15,2,4,5,13,20,3
252,4,3,16,13,5,21,15,9,2,17,6,7,20,12,18,11,10,14,8,19,1
253,9,20,1,21,7,10,15,4,18,5,8,6,13,19,17,11,12,3,2,14,16
254,5,7,10,3,12,18,11,1,19,8,15,20,14,17,4,9,13,21,6,2,16
255,12,18,19,5,21,13,6,17,14,9,11,16,20,3,7,8,1,10,4,15,2
256,4,9,2,15,7,11,21,10,20,14,16,1,6,8,3,12,17,18,13,5,19
257,2,3,18,1,4,6,7,16,15,20,13,19,10,12,8,11,14,21,9,5,17
258,20,7,15,10,12,8,21,9,16,19,11,1,14,4,2,17,13,3,5,6,18
259,20,8,6,14,5,18,12,21,4,11,15,1,9,16,13,2,7,19,17,3,10
260,15,21,18,7,1,19,17,13,5,11,9,2,3,8,20,14,6,10,4,12,16
261,19,2,11,3,6,12,15,5,16,21,9,17,8,7,13,4,20,18,14,1,10
262,10,19,1,13,14,11,18,8,7,3,16,20,15,4,9,5,21,12,6,17,2
263,13,3,18,14,19,5,21,8,6,20,12,16,7,4,9,15,17,2,11,10,1
264,11,8,9,10,19,6,7,12,18,5,20,14,3,2,1,15,17,4,13,16,21
265,21,11,4,5,1,13,15,10,18,12,17,14,8,16,2,6,7,3,19,20,9
266,2,19,3,14,9,4,16,20,11,13,1,10,15,7,12,6,17,5,21,8,18
267,17,16,20,3,14,7,11,12,18,2,6,1,5,10,8,4,19,21,9,15,13
268,9,8,7,19,6,10,14,12,16,11,17,20,4,21,5,18,1,3,15,13,2
269,19,16,6,9,4,14,10,21,13,20,2,12,18,3,15,17,7,5,1,11,8
270,11,14,12,8,5,4,10,6,3,15,2,19,18,17,16,21,7,9,20,1,13
271,4,15,19,11,5,1,20,9,21,17,16,6,10,3,18,8,7,13,14,2,12
272,3,1,5,6,13,17,18,9,15,19,21,20,11,10,12,14,2,8,16,7,4
273,17,6,11,1,7,10,12,20,8,13,4,5,19,16,3,9,21,15,18,2,14
274,3,20,16,21,1,2,4,8,10,6,15,14,7,18,19,5,12,13,9,11,17
275,5,21,6,18,1,12,9,19,7,4,3,17,10,2,13,15,8,14,11,16,20
276,18,4,3,12,7,10,9,17,21,8,5,15,11,2,6,16,20,13,14,19,1
277,19,21,5,2,8,6,11,9,14,17,20,7,18,3,15,12,16,10,1,13,4
278,9,20,7,21,3,18,15,10,6,13,4,1,8,16,2,19,12,5,17,14,11
279,3,6,5,13,7,1,20,21,14,18,11,9,2,12,19,8,10,17,4,15,16
280,3,5,14,16,13,21,4,2,10,8,19,15,18,6,1,17,20,11,9,7,12
281,3,11,21,9,10,7,17,5,16,19,20,4,13,2,6,8,1,12,15,14,18
282,14,5,20,8,7,15,11,12,17,16,13,10,18,19,2,4,9,1,21,3,6
283,13,1,16,4,10,3,8,11,20,18,19,17,9,15,2,21,14,6,12,7,5
284,14,11,9,2,17,7,15,6,1,21,16,13,10,20,3,5,18,19,12,8,4
285,5,19,11,14,3,16,15,12,6,10,4,17,20,13,2,7,8,1,18,21,9
286,18,15,10,14,6,11,8,17,3,9,19,16,13,1,2,5,21,4,20,7,12
287,10,11,2,21,20,19,14,13,17,7,3,9,6,1,18,4,5,15,12,16,8
288,21,8,16,6,17,2,19,12,15,7,14,1,10,20,4,11,13,3,9,18,5
289,5,11,12,13,4,15,21,2,1,9,3,16,8,17,6,20,14,10,18,19,7
290,1,3,8,6,19,2,18,10,16,13,5,21,11,12,20,7,14,17,15,9,4
291,15,13,2,4,11,5,14,10,19,12,17,21,3,9,18,7,20,6,16,1,8
292,1,11,13,10,19,14,18,6,21,8,16,7,2,4,17,9,20,15,12,3,5
293,12,9,21,6,16,14,20,7,1,4,11,13,3,5,18,15,17,19,8,10,2
294,8,11,16,1,19,7,20,9,5,4,15,17,14,3,21,10,6,18,12,13,2
295,18,6,9,4,3,16,15,5,1,10,20,14,11,21,8,12,19,13,17,7,2
296,7,18,11,9,5,14,21,19,1,2,4,17,13,20,8,6,12,3,15,10,16
297,4,5,7,3,10,16,8,21,19,13,15,20,9,17,6,2,14,12,18,1,11
298,21,17,6,3,19,16,9,13,4,14,2,18,12,1,20,11,10,5,7,8,15
299,13,12,10,3,19,18,17,20,21,2,6,15,1,16,8,4,5,9,11,14,7
300,12,10,19,7,20,9,2,8,11,6,17,3,4,16,1,18,13,14,21,5,15
301,16,15,18,13,5,21,2,19,10,4,12,3,11,20,6,9,14,8,7,1,17
302,9,1,3,21,17,5,8,10,15,6,7,16,13,11,12,2,14,20,4,18,19
303,2,5,13,21,19,1,11,18,8,6,20,10,9,3,15,16,4,17,12,14,7
304,14,20,11,5,8,15,21,6,16,10,2,9,12,1,18,4,3,19,13,7,17
305,2,10,3,15,11,21,17,5,12,14,13,6,9,16,8,19,4,18,20,1,7
