QueryID,Model,Run,File,ClassRaw,ClassCanonical,MethodName,Signature,DeclaredUC,CollapsedSourceRows,FirstSourceRow,QueryText
Q000023,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,UserCredentials,confirmPasswordReset,+ confirmPasswordReset (),3,1,24,Class: User Credentials. Method: confirm Password Reset. Signature: confirm Password Reset.
Q000024,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,UserCredentials,generateResetToken,+ generateResetToken (),3,1,25,Class: User Credentials. Method: generate Reset Token. Signature: generate Reset Token.
Q000025,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,UserCredentials,recordFailedAttempt,+ recordFailedAttempt (),2,1,26,Class: User Credentials. Method: record Failed Attempt. Signature: record Failed Attempt.
Q000026,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,UserCredentials,recordLogin,+ recordLogin (),2,1,27,Class: User Credentials. Method: record Login. Signature: record Login.
Q000027,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,UserCredentials,resetPassword,+ resetPassword (newPassword : String),3,1,28,Class: User Credentials. Method: reset Password. Signature: reset Password new Password String.
Q000028,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,UserCredentials,validateCredentials,+ validateCredentials (password : String) : Boolean,2,1,29,Class: User Credentials. Method: validate Credentials. Signature: validate Credentials password String Boolean.
Q000029,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserProfile,UserProfile,updateProfileInfo,+ updateProfileInfo () : ValidationResult,4,1,30,Class: User Profile. Method: update Profile Info. Signature: update Profile Info Validation Result.
Q000030,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserProfile,UserProfile,verifyEmail,+ verifyEmail (),1,1,31,Class: User Profile. Method: verify Email. Signature: verify Email.
Q000031,ChatGPT-4o,1,ChatGPT-4o_run1.json,WasteJourney,WasteJourney,trackByCode,+ trackByCode (code : String) : WasteJourney,10,1,32,Class: Waste Journey. Method: track By Code. Signature: track By Code code String Waste Journey.
Q000032,ChatGPT-4o,1,ChatGPT-4o_run1.json,WasteJourney,WasteJourney,updateStage,+ updateStage (stage : Stage),8,1,33,Class: Waste Journey. Method: update Stage. Signature: update Stage stage Stage.
Q000033,ChatGPT-4o,10,ChatGPT-4o_run10.json,CollectionPoint,CollectionPoint,updateLocation,"+ updateLocation (name : String, type : PointType, hours : OpeningHours[]) : ValidationResult",20,1,34,Class: Collection Point. Method: update Location. Signature: update Location name String type Point Type hours Opening Hours Validation Result.
Q000034,ChatGPT-4o,10,ChatGPT-4o_run10.json,Product,Product,createListing,+ createListing () : ValidationResult,5,1,37,Class: Product. Method: create Listing. Signature: create Listing Validation Result.
Q000035,ChatGPT-4o,10,ChatGPT-4o_run10.json,Product,Product,updateListingDetails,"+ updateListingDetails (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult",13,1,38,Class: Product. Method: update Listing Details. Signature: update Listing Details name String description String category Product Category inventory Integer Validation Result.
Q000036,ChatGPT-4o,10,ChatGPT-4o_run10.json,RoleManager,RoleManager,assignRole,"+ assignRole (user : UserProfile, role : UserRole) : ValidationResult",21,1,39,Class: Role Manager. Method: assign Role. Signature: assign Role user User Profile role User Role Validation Result.
Q000037,ChatGPT-4o,10,ChatGPT-4o_run10.json,SearchFilter,SearchFilter,applyFilters,+ applyFilters (products : Product[]) : Product[],14,1,40,Class: Search Filter. Method: apply Filters. Signature: apply Filters products Product Product.
Q000038,ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,ServiceProvider,acceptCollectionRequest,+ acceptCollectionRequest (requestId : UUID),8,1,41,Class: Service Provider. Method: accept Collection Request. Signature: accept Collection Request request Id UUID.
Q000039,ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,ServiceProvider,acceptTransportRequest,+ acceptTransportRequest (requestId : UUID),9,1,42,Class: Service Provider. Method: accept Transport Request. Signature: accept Transport Request request Id UUID.
Q000040,ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,ServiceProvider,updateServiceProfile,"+ updateServiceProfile (vehicleTypes : VehicleType[], availability : OpeningHours[]) : ValidationResult",19,1,44,Class: Service Provider. Method: update Service Profile. Signature: update Service Profile vehicle Types Vehicle Type availability Opening Hours Validation Result.
Q000041,ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceRequest,ServiceRequest,cancelRequest,+ cancelRequest (user : UserProfile),12,1,45,Class: Service Request. Method: cancel Request. Signature: cancel Request user User Profile.
Q000042,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,UserAccount,activateAccount,+ activateAccount (),1,1,48,Class: User Account. Method: activate Account. Signature: activate Account.
Q000043,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,UserAccount,createAccount,+ createAccount () : ValidationResult,1,1,49,Class: User Account. Method: create Account. Signature: create Account Validation Result.
Q000044,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,UserAccount,deactivateAccount,+ deactivateAccount (reason : String),15,1,50,Class: User Account. Method: deactivate Account. Signature: deactivate Account reason String.
Q000045,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,UserAccount,lockAccount,+ lockAccount (),2,1,51,Class: User Account. Method: lock Account. Signature: lock Account.
Q000046,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,UserAccount,unlockAccount,+ unlockAccount (),2,1,52,Class: User Account. Method: unlock Account. Signature: unlock Account.
Q000047,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,UserCredentials,clearFailedLoginAttempts,+ clearFailedLoginAttempts (),2,1,53,Class: User Credentials. Method: clear Failed Login Attempts. Signature: clear Failed Login Attempts.
Q000048,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,UserCredentials,generateResetToken,+ generateResetToken (),3,1,54,Class: User Credentials. Method: generate Reset Token. Signature: generate Reset Token.
Q000049,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,UserCredentials,incrementFailedLogin,+ incrementFailedLogin (),2,1,55,Class: User Credentials. Method: increment Failed Login. Signature: increment Failed Login.
Q000050,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,UserCredentials,resetPassword,"+ resetPassword (token : String, newPassword : String) : ValidationResult",3,1,56,Class: User Credentials. Method: reset Password. Signature: reset Password token String new Password String Validation Result.
Q000051,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,UserCredentials,setPassword,+ setPassword (newPassword : String) : ValidationResult,3,1,57,Class: User Credentials. Method: set Password. Signature: set Password new Password String Validation Result.
Q000052,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,UserCredentials,validateLogin,+ validateLogin (password : String) : Boolean,2,1,58,Class: User Credentials. Method: validate Login. Signature: validate Login password String Boolean.
Q000053,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserProfile,UserProfile,updateProfileDetails,"+ updateProfileDetails (name : String, phone : String, address : Address) : ValidationResult",4,1,59,Class: User Profile. Method: update Profile Details. Signature: update Profile Details name String phone String address Address Validation Result.
Q000054,ChatGPT-4o,10,ChatGPT-4o_run10.json,UserProfile,UserProfile,verifyEmail,+ verifyEmail (),1,1,60,Class: User Profile. Method: verify Email. Signature: verify Email.
Q000055,ChatGPT-4o,10,ChatGPT-4o_run10.json,WasteJourney,WasteJourney,trackProgress,"+ trackProgress (stage : Stage, location : Address)",10,1,61,Class: Waste Journey. Method: track Progress. Signature: track Progress stage Stage location Address.
Q000056,ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionPoint,CollectionPoint,updateDetails,"+ updateDetails (name : String, type : PointType, coordinates : Coordinates, hours : OpeningHours[]) : ValidationResult",20,1,62,Class: Collection Point. Method: update Details. Signature: update Details name String type Point Type coordinates Coordinates hours Opening Hours Validation Result.
Q000057,ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionRequest,CollectionRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, slot : TimeRange)",8,1,63,Class: Collection Request. Method: accept Request. Signature: accept Request provider Service Provider slot Time Range.
Q000058,ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionRequest,CollectionRequest,markAsCollected,+ markAsCollected (),8,1,64,Class: Collection Request. Method: mark As Collected. Signature: mark As Collected.
Q000059,ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionRequest,CollectionRequest,schedule,"+ schedule (vehicle : VehicleType, time : TimeRange, location : Address)",6,1,65,Class: Collection Request. Method: schedule. Signature: schedule vehicle Vehicle Type time Time Range location Address.
Q000060,ChatGPT-4o,2,ChatGPT-4o_run2.json,Product,Product,publishListing,+ publishListing () : ValidationResult,5,1,66,Class: Product. Method: publish Listing. Signature: publish Listing Validation Result.
Q000061,ChatGPT-4o,2,ChatGPT-4o_run2.json,Product,Product,updateListing,"+ updateListing (name : String, desc : String, category : ProductCategory, inventory : Integer) : ValidationResult",13,1,67,Class: Product. Method: update Listing. Signature: update Listing name String desc String category Product Category inventory Integer Validation Result.
Q000062,ChatGPT-4o,2,ChatGPT-4o_run2.json,RoleManager,RoleManager,assignRole,"+ assignRole (user : UserProfile, role : UserRole) : ValidationResult",21,1,68,Class: Role Manager. Method: assign Role. Signature: assign Role user User Profile role User Role Validation Result.
Q000063,ChatGPT-4o,2,ChatGPT-4o_run2.json,SearchFilter,SearchFilter,apply,+ apply () : Product[],14,1,69,Class: Search Filter. Method: apply. Signature: apply Product.
Q000064,ChatGPT-4o,2,ChatGPT-4o_run2.json,ServiceRequest,ServiceRequest,cancelRequest,"+ cancelRequest (by : UserProfile, date : Date)",12,1,70,Class: Service Request. Method: cancel Request. Signature: cancel Request by User Profile date Date.
Q000065,ChatGPT-4o,2,ChatGPT-4o_run2.json,TransportRequest,TransportRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, slot : TimeRange)",9,1,71,Class: Transport Request. Method: accept Request. Signature: accept Request provider Service Provider slot Time Range.
Q000066,ChatGPT-4o,2,ChatGPT-4o_run2.json,TransportRequest,TransportRequest,markAsCompleted,+ markAsCompleted (),9,1,72,Class: Transport Request. Method: mark As Completed. Signature: mark As Completed.
Q000067,ChatGPT-4o,2,ChatGPT-4o_run2.json,TransportRequest,TransportRequest,scheduleTransport,"+ scheduleTransport (route : RoutePlan, slot : TimeRange)",6,1,73,Class: Transport Request. Method: schedule Transport. Signature: schedule Transport route Route Plan slot Time Range.
Q000068,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,deactivate,+ deactivate (reason : String),15,1,74,Class: User Account. Method: deactivate. Signature: deactivate reason String.
Q000069,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,isEligibleToLogin,+ isEligibleToLogin () : Boolean,2,1,75,Class: User Account. Method: is Eligible To Login. Signature: is Eligible To Login Boolean.
Q000070,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,lockAccount,+ lockAccount (),2,1,76,Class: User Account. Method: lock Account. Signature: lock Account.
Q000071,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,logout,+ logout (),16,1,77,Class: User Account. Method: logout. Signature: logout.
Q000072,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,recordLogin,+ recordLogin (date : Date),2,1,78,Class: User Account. Method: record Login. Signature: record Login date Date.
Q000073,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,registerAccount,"+ registerAccount (email : String, password : String, profile : UserProfile) : ValidationResult",1,1,79,Class: User Account. Method: register Account. Signature: register Account email String password String profile User Profile Validation Result.
Q000074,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,unlockAccount,+ unlockAccount (),2,1,80,Class: User Account. Method: unlock Account. Signature: unlock Account.
Q000075,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,UserAccount,verifyEmail,+ verifyEmail (),1,1,81,Class: User Account. Method: verify Email. Signature: verify Email.
Q000076,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,UserCredentials,generateResetToken,+ generateResetToken (expiration : Date) : String,3,1,82,Class: User Credentials. Method: generate Reset Token. Signature: generate Reset Token expiration Date String.
Q000077,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,UserCredentials,incrementFailedAttempts,+ incrementFailedAttempts (),2,1,83,Class: User Credentials. Method: increment Failed Attempts. Signature: increment Failed Attempts.
Q000078,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,UserCredentials,isResetTokenValid,+ isResetTokenValid (token : String) : Boolean,3,1,84,Class: User Credentials. Method: is Reset Token Valid. Signature: is Reset Token Valid token String Boolean.
Q000079,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,UserCredentials,resetFailedAttempts,+ resetFailedAttempts (),2,1,85,Class: User Credentials. Method: reset Failed Attempts. Signature: reset Failed Attempts.
Q000080,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,UserCredentials,resetPassword,+ resetPassword (newPassword : String) : ValidationResult,3,1,86,Class: User Credentials. Method: reset Password. Signature: reset Password new Password String Validation Result.
Q000081,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,UserCredentials,validatePassword,+ validatePassword (inputPassword : String) : Boolean,2,1,87,Class: User Credentials. Method: validate Password. Signature: validate Password input Password String Boolean.
Q000082,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserProfile,UserProfile,markEmailVerified,+ markEmailVerified (date : Date),1,1,88,Class: User Profile. Method: mark Email Verified. Signature: mark Email Verified date Date.
Q000083,ChatGPT-4o,2,ChatGPT-4o_run2.json,UserProfile,UserProfile,updateProfile,"+ updateProfile (name : String, phone : String, address : Address) : ValidationResult",4,1,89,Class: User Profile. Method: update Profile. Signature: update Profile name String phone String address Address Validation Result.
Q000084,ChatGPT-4o,2,ChatGPT-4o_run2.json,WasteJourney,WasteJourney,updateLocation,+ updateLocation (address : Address),10,1,90,Class: Waste Journey. Method: update Location. Signature: update Location address Address.
Q000085,ChatGPT-4o,2,ChatGPT-4o_run2.json,WasteJourney,WasteJourney,updateStage,+ updateStage (stage : Stage),10,1,91,Class: Waste Journey. Method: update Stage. Signature: update Stage stage Stage.
Q000086,ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionPoint,CollectionPoint,createPoint,"+ createPoint (name : String, type : PointType)",20,1,92,Class: Collection Point. Method: create Point. Signature: create Point name String type Point Type.
Q000087,ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionPoint,CollectionPoint,updatePoint,+ updatePoint (details : String),20,1,93,Class: Collection Point. Method: update Point. Signature: update Point details String.
Q000088,ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionRequest,CollectionRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, time : TimeRange)",8,1,94,Class: Collection Request. Method: accept Request. Signature: accept Request provider Service Provider time Time Range.
Q000089,ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionRequest,CollectionRequest,markCollected,+ markCollected (),8,1,95,Class: Collection Request. Method: mark Collected. Signature: mark Collected.
Q000090,ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,NotificationService,notifyProvider,"+ notifyProvider (provider : ServiceProvider, type : NotificationType)",8,1,96,Class: Notification Service. Method: notify Provider. Signature: notify Provider provider Service Provider type Notification Type.
Q000091,ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,NotificationService,sendDeactivationEmail,+ sendDeactivationEmail (user : UserProfile),15,1,97,Class: Notification Service. Method: send Deactivation Email. Signature: send Deactivation Email user User Profile.
Q000092,ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,NotificationService,sendNotification,"+ sendNotification (user : UserProfile, type : NotificationType)",1,1,98,Class: Notification Service. Method: send Notification. Signature: send Notification user User Profile type Notification Type.
Q000093,ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,NotificationService,sendResetPassword,+ sendResetPassword (user : UserProfile),3,1,99,Class: Notification Service. Method: send Reset Password. Signature: send Reset Password user User Profile.
Q000094,ChatGPT-4o,3,ChatGPT-4o_run3.json,Product,Product,createListing,+ createListing (user : UserProfile),5,1,100,Class: Product. Method: create Listing. Signature: create Listing user User Profile.
Q000095,ChatGPT-4o,3,ChatGPT-4o_run3.json,Product,Product,updateListing,+ updateListing (details : String),13,1,101,Class: Product. Method: update Listing. Signature: update Listing details String.
Q000096,ChatGPT-4o,3,ChatGPT-4o_run3.json,RoleManager,RoleManager,assignRole,"+ assignRole (user : UserProfile, role : UserRole)",21,1,102,Class: Role Manager. Method: assign Role. Signature: assign Role user User Profile role User Role.
Q000097,ChatGPT-4o,3,ChatGPT-4o_run3.json,SearchFilter,SearchFilter,search,+ search () : Product[],14,1,103,Class: Search Filter. Method: search. Signature: search Product.
Q000098,ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceProvider,ServiceProvider,updateProviderProfile,+ updateProviderProfile (profile : UserProfile),19,1,104,Class: Service Provider. Method: update Provider Profile. Signature: update Provider Profile profile User Profile.
Q000099,ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceRequest,ServiceRequest,cancelRequest,"+ cancelRequest (user : UserProfile, date : Date)",12,1,105,Class: Service Request. Method: cancel Request. Signature: cancel Request user User Profile date Date.
Q000100,ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceRequest,ServiceRequest,submitRequest,+ submitRequest (requester : UserProfile),6,1,106,Class: Service Request. Method: submit Request. Signature: submit Request requester User Profile.
Q000101,ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceRequest,ServiceRequest,viewStatus,+ viewStatus () : RequestStatus,11,1,107,Class: Service Request. Method: view Status. Signature: view Status Request Status.
Q000102,ChatGPT-4o,3,ChatGPT-4o_run3.json,TransportRequest,TransportRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, time : TimeRange, route : RoutePlan)",9,1,108,Class: Transport Request. Method: accept Request. Signature: accept Request provider Service Provider time Time Range route Route Plan.
Q000103,ChatGPT-4o,3,ChatGPT-4o_run3.json,TransportRequest,TransportRequest,markCompleted,+ markCompleted (),9,1,109,Class: Transport Request. Method: mark Completed. Signature: mark Completed.
Q000104,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,UserAccount,activateAccount,+ activateAccount (),1,1,110,Class: User Account. Method: activate Account. Signature: activate Account.
Q000105,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,UserAccount,createAccount,"+ createAccount (email : String, password : String)",1,1,111,Class: User Account. Method: create Account. Signature: create Account email String password String.
Q000106,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,UserAccount,deactivate,+ deactivate (reason : String),15,1,112,Class: User Account. Method: deactivate. Signature: deactivate reason String.
Q000107,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,UserAccount,lockAccount,+ lockAccount (reason : String),2,1,113,Class: User Account. Method: lock Account. Signature: lock Account reason String.
Q000108,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,UserAccount,recordLogin,+ recordLogin (date : Date),2,1,114,Class: User Account. Method: record Login. Signature: record Login date Date.
Q000109,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,UserCredentials,generateResetToken,+ generateResetToken () : String,3,1,115,Class: User Credentials. Method: generate Reset Token. Signature: generate Reset Token String.
Q000110,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,UserCredentials,incrementFailedAttempts,+ incrementFailedAttempts (),2,1,116,Class: User Credentials. Method: increment Failed Attempts. Signature: increment Failed Attempts.
Q000111,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,UserCredentials,resetFailedAttempts,+ resetFailedAttempts (),2,1,117,Class: User Credentials. Method: reset Failed Attempts. Signature: reset Failed Attempts.
Q000112,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,UserCredentials,updatePassword,+ updatePassword (newPassword : String),3,1,118,Class: User Credentials. Method: update Password. Signature: update Password new Password String.
Q000113,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,UserCredentials,validateCredentials,"+ validateCredentials (email : String, password : String) : boolean",2,1,119,Class: User Credentials. Method: validate Credentials. Signature: validate Credentials email String password String boolean.
Q000114,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserProfile,UserProfile,updateProfile,"+ updateProfile (name : String, phone : String, address : Address)",4,1,120,Class: User Profile. Method: update Profile. Signature: update Profile name String phone String address Address.
Q000115,ChatGPT-4o,3,ChatGPT-4o_run3.json,UserProfile,UserProfile,verifyEmail,+ verifyEmail (date : Date),1,1,121,Class: User Profile. Method: verify Email. Signature: verify Email date Date.
Q000116,ChatGPT-4o,3,ChatGPT-4o_run3.json,WasteJourney,WasteJourney,trackJourney,+ trackJourney (code : String) : WasteJourney,10,1,122,Class: Waste Journey. Method: track Journey. Signature: track Journey code String Waste Journey.
Q000117,ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionPoint,CollectionPoint,updateLocation,"+ updateLocation (name : String, type : PointType, position : Coordinates, operatingHours : OpeningHours[]) : ValidationResult",20,1,123,Class: Collection Point. Method: update Location. Signature: update Location name String type Point Type position Coordinates operating Hours Opening Hours Validation Result.
Q000118,ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionRequest,CollectionRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, scheduledTime : TimeRange)",8,1,124,Class: Collection Request. Method: accept Request. Signature: accept Request provider Service Provider scheduled Time Time Range.
Q000119,ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionRequest,CollectionRequest,markCollected,+ markCollected (),8,1,125,Class: Collection Request. Method: mark Collected. Signature: mark Collected.
Q000120,ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionRequest,CollectionRequest,submitCollectionRequest,"+ submitCollectionRequest (requester : UserProfile, scheduledTime : TimeRange, location : Address, vehicleType : VehicleType, quantity : Integer, categories : ProductCategory[]) : ValidationResult",6,1,126,Class: Collection Request. Method: submit Collection Request. Signature: submit Collection Request requester User Profile scheduled Time Time Range location Address vehicle Type Vehicle Type quantity Integer categories Product Category Validation Result.
Q000121,ChatGPT-4o,4,ChatGPT-4o_run4.json,Product,Product,createListing,"+ createListing (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult",5,1,127,Class: Product. Method: create Listing. Signature: create Listing name String description String category Product Category inventory Integer Validation Result.
Q000122,ChatGPT-4o,4,ChatGPT-4o_run4.json,Product,Product,publishListing,+ publishListing (),5,1,128,Class: Product. Method: publish Listing. Signature: publish Listing.
Q000123,ChatGPT-4o,4,ChatGPT-4o_run4.json,Product,Product,updateListing,"+ updateListing (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult",13,1,129,Class: Product. Method: update Listing. Signature: update Listing name String description String category Product Category inventory Integer Validation Result.
